nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
       105, 8.999999860E-01,-3.090909209E-01, 1.249999995E-01, 1.285099119E-01, 1.619109501E-05, 1.281413004E-03, 2.370680881E+00
       106, 1.049999886E+00,-3.090909068E-01, 1.249999940E-01, 1.287564970E-01, 3.997831489E-05, 2.155083423E-04, 2.368040140E+00
       107, 1.200000032E+00,-3.090909137E-01, 1.249999968E-01, 1.290567775E-01, 4.050252293E-05,-7.495327831E-04, 2.366162390E+00
       108, 1.350000032E+00,-3.090909125E-01, 1.249999961E-01, 1.294255780E-01, 1.128121898E-05,-1.602136436E-03, 2.364795220E+00
       109, 1.499999971E+00,-3.090908993E-01, 1.249999909E-01, 1.298791148E-01,-2.985564692E-05,-2.370441773E-03, 2.363730339E+00
       110, 1.649999926E+00,-3.090909137E-01, 1.249999968E-01, 1.304310167E-01,-6.514421861E-05,-3.086431282E-03, 2.362804032E+00
       111, 1.799999931E+00,-3.090909137E-01, 1.249999968E-01, 1.310861350E-01,-7.874463930E-05,-3.771294835E-03, 2.361882843E+00
       112, 1.950000047E+00,-3.090909125E-01, 1.249999961E-01, 1.318431680E-01,-5.973263387E-05,-4.435387358E-03, 2.360862537E+00
       113, 2.099999954E+00,-3.090909160E-01, 1.249999977E-01, 1.326937376E-01,-3.007803545E-06,-5.082636954E-03, 2.359657503E+00
       114, 2.250000011E+00,-3.090909068E-01, 1.249999940E-01, 1.336214430E-01, 9.289281088E-05,-5.711348635E-03, 2.358202263E+00
       115,-4.499999921E-01,-2.909091017E-01, 1.249999996E-01, 1.274627163E-01, 1.735721869E-03,-2.513715888E-03, 2.279126992E+00
       116,-3.000000054E-01,-2.909090925E-01, 1.249999956E-01, 1.277352415E-01, 3.172588808E-03,-7.592348416E-03, 2.283887778E+00
       117,-1.500000057E-01,-2.909090952E-01, 1.249999993E-01, 1.279536392E-01, 5.424730332E-03,-1.934392790E-02, 2.298735184E+00
       118,-9.818534874E-16,-2.909090952E-01, 1.249999968E-01, 1.279835441E-01, 6.831906333E-03,-2.885682667E-02, 2.332860306E+00
       119, 1.500000041E-01,-2.909090931E-01, 1.249999959E-01, 1.279319448E-01, 5.555552344E-03,-1.937941870E-02, 2.367781990E+00
       120, 3.000000054E-01,-2.909090925E-01, 1.249999956E-01, 1.279510390E-01, 2.872601711E-03,-5.622789998E-03, 2.381970981E+00
       121, 4.499999921E-01,-2.909091017E-01, 1.249999996E-01, 1.280330168E-01, 9.223254710E-04, 1.305953568E-03, 2.382519160E+00
       122, 6.000000172E-01,-2.909090952E-01, 1.249999968E-01, 1.281629644E-01, 1.464948460E-05, 3.127553018E-03, 2.378565141E+00
       123, 7.500000194E-01,-2.909090952E-01, 1.249999965E-01, 1.283393662E-01,-2.875884377E-04, 2.579830347E-03, 2.374113622E+00
       124, 8.999999860E-01,-2.909091020E-01, 1.249999995E-01, 1.285692705E-01,-3.597776717E-04, 1.261356942E-03, 2.370500566E+00
       125, 1.049999886E+00,-2.909090887E-01, 1.249999940E-01, 1.288709558E-01,-3.925672826E-04,-1.337623323E-04, 2.367880873E+00
       126, 1.200000032E+00,-2.909090952E-01, 1.249999968E-01, 1.292683498E-01,-4.399587277E-04,-1.405385160E-03, 2.365986696E+00
       127, 1.350000032E+00,-2.909090942E-01, 1.249999961E-01, 1.297873767E-01,-5.015814406E-04,-2.537681578E-03, 2.364531622E+00
       128, 1.499999971E+00,-2.909090817E-01, 1.249999909E-01, 1.304498010E-01,-5.518015364E-04,-3.565669561E-03, 2.363275955E+00
       129, 1.649999926E+00,-2.909090952E-01, 1.249999968E-01, 1.312666070E-01,-5.662109995E-04,-4.518473544E-03, 2.362020704E+00
       130, 1.799999931E+00,-2.909090952E-01, 1.249999968E-01, 1.322301893E-01,-5.290100023E-04,-5.414541698E-03, 2.360606426E+00
       131, 1.950000047E+00,-2.909090942E-01, 1.249999961E-01, 1.333218382E-01,-4.331019434E-04,-6.261441605E-03, 2.358913474E+00
       132, 2.099999954E+00,-2.909090974E-01, 1.249999977E-01, 1.345129398E-01,-2.803331371E-04,-7.060106814E-03, 2.356858027E+00
       133, 2.250000011E+00,-2.909090887E-01, 1.249999940E-01, 1.357667053E-01,-7.683707222E-05,-7.807438793E-03, 2.354397937E+00
       134,-4.499999921E-01,-2.727272829E-01, 1.249999996E-01, 1.274691458E-01, 1.770716915E-03,-2.818643703E-03, 2.278757569E+00
       135,-3.000000054E-01,-2.727272743E-01, 1.249999956E-01, 1.277558264E-01, 3.304877975E-03,-8.626013596E-03, 2.282815173E+00
       136,-1.500000057E-01,-2.727272768E-01, 1.249999993E-01, 1.280004368E-01, 5.760903452E-03,-2.277778570E-02, 2.296729132E+00
       137,-1.278491202E-15,-2.727272768E-01, 1.249999968E-01, 1.280339479E-01, 7.304814471E-03,-3.494735480E-02, 2.332695400E+00
       138, 1.500000041E-01,-2.727272748E-01, 1.249999959E-01, 1.279745924E-01, 5.855710355E-03,-2.291248672E-02, 2.369702639E+00
       139, 3.000000054E-01,-2.727272743E-01, 1.249999956E-01, 1.279916218E-01, 2.852906442E-03,-6.313353469E-03, 2.383180709E+00
       140, 4.499999921E-01,-2.727272829E-01, 1.249999996E-01, 1.280723130E-01, 6.966688351E-04, 1.664051519E-03, 2.382864148E+00
       141, 6.000000172E-01,-2.727272768E-01, 1.249999968E-01, 1.282117723E-01,-3.276096871E-04, 3.586053333E-03, 2.378476358E+00
       142, 7.500000194E-01,-2.727272768E-01, 1.249999965E-01, 1.284227939E-01,-7.112131325E-04, 2.744367239E-03, 2.373863792E+00
       143, 8.999999860E-01,-2.727272831E-01, 1.249999995E-01, 1.287303646E-01,-8.527387522E-04, 1.019649748E-03, 2.370193287E+00
       144, 1.049999886E+00,-2.727272707E-01, 1.249999940E-01, 1.291763847E-01,-9.388481735E-04,-7.848176418E-04, 2.367504151E+00
       145, 1.200000032E+00,-2.727272768E-01, 1.249999968E-01, 1.298028204E-01,-1.018718370E-03,-2.435627147E-03, 2.365450750E+00
       146, 1.350000032E+00,-2.727272758E-01, 1.249999961E-01, 1.306438201E-01,-1.080153466E-03,-3.913128907E-03, 2.363687725E+00
       147, 1.499999971E+00,-2.727272641E-01, 1.249999909E-01, 1.317132485E-01,-1.085289869E-03,-5.242632067E-03, 2.361917575E+00
       148, 1.649999926E+00,-2.727272768E-01, 1.249999968E-01, 1.329982628E-01,-1.012885692E-03,-6.449849563E-03, 2.359892804E+00
       149, 1.799999931E+00,-2.727272768E-01, 1.249999968E-01, 1.344566147E-01,-8.584530535E-04,-7.549827380E-03, 2.357446084E+00
       150, 1.950000047E+00,-2.727272758E-01, 1.249999961E-01, 1.360338457E-01,-6.264844623E-04,-8.550564013E-03, 2.354482462E+00
       151, 2.099999954E+00,-2.727272788E-01, 1.249999977E-01, 1.376685817E-01,-3.317842798E-04,-9.455795122E-03, 2.350974406E+00
       152, 2.250000011E+00,-2.727272707E-01, 1.249999940E-01, 1.392989867E-01, 5.397150439E-06,-1.026407498E-02, 2.346960123E+00
       153,-4.499999921E-01,-2.545454640E-01, 1.249999996E-01, 1.274762857E-01, 1.809499273E-03,-3.072979339E-03, 2.278347522E+00
       154,-3.000000054E-01,-2.545454560E-01, 1.249999956E-01, 1.277793726E-01, 3.453364215E-03,-9.540182352E-03, 2.281587341E+00
       155,-1.500000057E-01,-2.545454583E-01, 1.249999993E-01, 1.280565006E-01, 6.134910288E-03,-2.630110437E-02, 2.294252082E+00
       156,-9.037909310E-16,-2.545454583E-01, 1.249999968E-01, 1.280958032E-01, 7.816435635E-03,-4.180982078E-02, 2.332499705E+00
       157, 1.500000041E-01,-2.545454564E-01, 1.249999959E-01, 1.280296977E-01, 6.162341155E-03,-2.659374608E-02, 2.372099201E+00
       158, 3.000000054E-01,-2.545454560E-01, 1.249999956E-01, 1.280499907E-01, 2.783700908E-03,-6.899103294E-03, 2.384613549E+00
       159, 4.499999921E-01,-2.545454640E-01, 1.249999996E-01, 1.281423665E-01, 3.857009709E-04, 2.059055889E-03, 2.383233179E+00
       160, 6.000000172E-01,-2.545454583E-01, 1.249999968E-01, 1.283266349E-01,-7.762266944E-04, 3.955617979E-03, 2.378270435E+00
       161, 7.500000194E-01,-2.545454583E-01, 1.249999965E-01, 1.286459785E-01,-1.252571375E-03, 2.697380804E-03, 2.373378835E+00
       162, 8.999999860E-01,-2.545454643E-01, 1.249999995E-01, 1.291618925E-01,-1.457687566E-03, 4.494840402E-04, 2.369527304E+00
       163, 1.049999886E+00,-2.545454526E-01, 1.249999940E-01, 1.299539643E-01,-1.569279611E-03,-1.864535658E-03, 2.366580782E+00
