nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
       453, 1.799999931E+00,-4.770489495E-17, 2.315789483E-01, 2.298244516E-01,-3.233142691E-02, 1.134417302E-02, 2.356180549E+00
       454, 1.950000054E+00,-4.869779669E-17, 2.315789483E-01, 2.232985186E-01,-3.134400313E-02, 1.017204781E-02, 2.364345682E+00
       455, 2.099999938E+00,-4.969069685E-17, 2.315789483E-01, 2.171576685E-01,-3.042548149E-02, 9.150770980E-03, 2.371858372E+00
       456, 2.250000061E+00,-5.068359858E-17, 2.315789483E-01, 2.114388824E-01,-2.955744610E-02, 8.248274241E-03, 2.378753568E+00
       457,-4.499999820E-01,-3.072286593E-17, 2.484210541E-01, 9.794912844E-02, 2.069842646E-03,-3.344906711E-04, 2.488155637E+00
       458,-3.000000072E-01,-3.168152873E-17, 2.484210541E-01, 9.866509634E-02, 6.977471723E-03,-6.454459611E-04, 2.483324060E+00
       459,-1.500000033E-01,-3.264019121E-17, 2.484210504E-01, 1.002992558E-01, 4.088132525E-02,-1.654839480E-03, 2.462437396E+00
       460,-8.031769694E-16,-3.359885469E-17, 2.484210541E-01, 1.079840210E-01, 1.640545322E-01,-7.649393530E-03, 2.532013527E+00
       461, 1.500000033E-01,-3.455751717E-17, 2.484210504E-01, 1.296889982E-01, 4.718366973E-02,-1.402543718E-02, 2.580927260E+00
       462, 3.000000072E-01,-3.551618066E-17, 2.484210541E-01, 1.593639980E-01,-1.105428643E-02,-7.623471453E-03, 2.533192380E+00
       463, 4.499999820E-01,-3.647484346E-17, 2.484210541E-01, 1.872737445E-01,-3.133243627E-02,-1.060284705E-03, 2.494810538E+00
       464, 5.999999973E-01,-3.743350551E-17, 2.484210467E-01, 2.083764915E-01,-3.762349115E-02, 3.536170358E-03, 2.467329131E+00
       465, 7.500000434E-01,-3.839217077E-17, 2.484210615E-01, 2.220437409E-01,-3.874194542E-02, 6.435601454E-03, 2.448254849E+00
       466, 8.999999640E-01,-3.935083222E-17, 2.484210541E-01, 2.293141871E-01,-3.835503529E-02, 8.142671476E-03, 2.435704916E+00
       467, 1.049999879E+00,-4.030949363E-17, 2.484210467E-01, 2.317521466E-01,-3.767600677E-02, 8.996104573E-03, 2.428173551E+00
       468, 1.200000069E+00,-4.126815981E-17, 2.484210615E-01, 2.309815776E-01,-3.693194082E-02, 9.319756651E-03, 2.424238861E+00
       469, 1.350000037E+00,-4.222682156E-17, 2.484210541E-01, 2.281734284E-01,-3.613131545E-02, 9.256699302E-03, 2.422870752E+00
       470, 1.500000019E+00,-4.318548390E-17, 2.484210504E-01, 2.241587715E-01,-3.527443645E-02, 8.963932607E-03, 2.423259300E+00
       471, 1.649999926E+00,-4.414414677E-17, 2.484210541E-01, 2.195057686E-01,-3.438839216E-02, 8.542939992E-03, 2.424808957E+00
       472, 1.799999931E+00,-4.510280976E-17, 2.484210541E-01, 2.145930958E-01,-3.350331222E-02, 8.055416978E-03, 2.427080500E+00
       473, 1.950000082E+00,-4.606147419E-17, 2.484210578E-01, 2.096505509E-01,-3.262351560E-02, 7.560984761E-03, 2.429779329E+00
       474, 2.099999938E+00,-4.702013573E-17, 2.484210541E-01, 2.048225063E-01,-3.175119603E-02, 7.071292653E-03, 2.432705585E+00
       475, 2.250000061E+00,-4.797879947E-17, 2.484210541E-01, 2.001953542E-01,-3.089728021E-02, 6.591048647E-03, 2.435728928E+00
       476,-4.499999820E-01,-4.056057416E-17, 2.652631598E-01, 9.485767836E-02, 1.924800093E-03,-3.313254255E-04, 2.509040249E+00
       477,-3.000000072E-01,-4.213552019E-17, 2.652631598E-01, 9.550564569E-02, 6.691043462E-03,-6.350985246E-04, 2.505186339E+00
       478,-1.500000033E-01,-4.371046585E-17, 2.652631559E-01, 9.686506907E-02, 3.771559348E-02,-1.534823592E-03, 2.491756174E+00
       479,-6.817463261E-16,-4.528541285E-17, 2.652631598E-01, 1.008481766E-01, 1.252791405E-01,-4.910880015E-03, 2.552785134E+00
       480, 1.500000050E-01,-4.686035919E-17, 2.652631598E-01, 1.098800663E-01, 4.273614943E-02,-1.117363718E-02, 2.619211155E+00
       481, 3.000000072E-01,-4.843530550E-17, 2.652631598E-01, 1.255769459E-01,-6.152891061E-03,-1.040703426E-02, 2.607016662E+00
       482, 4.499999820E-01,-5.001025153E-17, 2.652631598E-01, 1.452874942E-01,-2.402862547E-02,-7.559701533E-03, 2.585471722E+00
       483, 5.999999973E-01,-5.158519663E-17, 2.652631519E-01, 1.642910569E-01,-3.037475163E-02,-4.475086935E-03, 2.563089503E+00
       484, 7.500000434E-01,-5.316014610E-17, 2.652631677E-01, 1.797500608E-01,-3.242967280E-02,-1.518423802E-03, 2.542966511E+00
       485, 8.999999640E-01,-5.473509021E-17, 2.652631598E-01, 1.906962588E-01,-3.319743816E-02, 9.940216971E-04, 2.526170312E+00
       486, 1.049999879E+00,-5.631003426E-17, 2.652631519E-01, 1.973535415E-01,-3.354710567E-02, 2.860861256E-03, 2.512979241E+00
       487, 1.200000069E+00,-5.788498525E-17, 2.652631677E-01, 2.006488703E-01,-3.366674234E-02, 4.121413868E-03, 2.503060767E+00
       488, 1.350000037E+00,-5.945992984E-17, 2.652631598E-01, 2.014807385E-01,-3.357547977E-02, 4.929870077E-03, 2.495918969E+00
       489, 1.500000019E+00,-6.103487527E-17, 2.652631559E-01, 2.006091885E-01,-3.329536988E-02, 5.395392021E-03, 2.491018652E+00
       490, 1.649999926E+00,-6.260982126E-17, 2.652631598E-01, 1.986226050E-01,-3.287208149E-02, 5.606566009E-03, 2.487861921E+00
       491, 1.799999931E+00,-6.418476760E-17, 2.652631598E-01, 1.959644974E-01,-3.236733900E-02, 5.649060942E-03, 2.485990838E+00
       492, 1.950000054E+00,-6.575971518E-17, 2.652631598E-01, 1.929258447E-01,-3.177192974E-02, 5.584907976E-03, 2.485063260E+00
       493, 2.099999938E+00,-6.733466026E-17, 2.652631598E-01, 1.897038776E-01,-3.111132549E-02, 5.447006166E-03, 2.484831848E+00
       494, 2.250000061E+00,-6.890960784E-17, 2.652631598E-01, 1.864342636E-01,-3.041537193E-02, 5.262818857E-03, 2.485101464E+00
       495,-4.499999820E-01,-2.654583439E-17, 2.821052656E-01, 9.208094638E-02, 1.739264658E-03,-3.279677637E-04, 2.528384822E+00
       496,-3.000000072E-01,-2.743602127E-17, 2.821052656E-01, 9.263760425E-02, 6.251807800E-03,-6.256889581E-04, 2.525464172E+00
       497,-1.500000033E-01,-2.832620790E-17, 2.821052614E-01, 9.373138619E-02, 3.359112244E-02,-1.434045077E-03, 2.518286885E+00
       498,-5.551115123E-16,-2.921639538E-17, 2.821052656E-01, 9.604549358E-02, 9.633665214E-02,-3.717671569E-03, 2.573028096E+00
       499, 1.500000050E-01,-3.010658245E-17, 2.821052656E-01, 9.958766018E-02, 3.734403544E-02,-6.601516392E-03, 2.633859890E+00
       500, 3.000000143E-01,-3.099677014E-17, 2.821052714E-01, 1.065686485E-01,-3.199903284E-03,-7.375850144E-03, 2.631369884E+00
       501, 4.499999820E-01,-3.188695638E-17, 2.821052656E-01, 1.173327745E-01,-1.815465597E-02,-6.496025678E-03, 2.619740131E+00
       502, 5.999999973E-01,-3.277714263E-17, 2.821052572E-01, 1.302322877E-01,-2.360046704E-02,-5.021491136E-03, 2.606373017E+00
       503, 7.500000434E-01,-3.366733168E-17, 2.821052740E-01, 1.431516835E-01,-2.572643840E-02,-3.186135972E-03, 2.592818118E+00
       504, 8.999999640E-01,-3.455751737E-17, 2.821052656E-01, 1.544232606E-01,-2.696372467E-02,-1.299826809E-03, 2.579834713E+00
       505, 1.049999879E+00,-3.544770303E-17, 2.821052572E-01, 1.631453086E-01,-2.790498429E-02, 3.613642393E-04, 2.568075541E+00
       506, 1.200000069E+00,-3.633789294E-17, 2.821052740E-01, 1.692557862E-01,-2.863865944E-02, 1.681754242E-03, 2.557937987E+00
       507, 1.350000037E+00,-3.722807890E-17, 2.821052656E-01, 1.730704208E-01,-2.915162803E-02, 2.684536395E-03, 2.549555739E+00
       508, 1.500000019E+00,-3.811826540E-17, 2.821052614E-01, 1.750427346E-01,-2.943206662E-02, 3.405181688E-03, 2.542866999E+00
       509, 1.649999926E+00,-3.900845231E-17, 2.821052656E-01, 1.756290181E-01,-2.950457650E-02, 3.885305362E-03, 2.537686455E+00
       510, 1.799999931E+00,-3.989863938E-17, 2.821052656E-01, 1.752437621E-01,-2.940703842E-02, 4.187151995E-03, 2.533747932E+00
       511, 1.950000054E+00,-4.078882714E-17, 2.821052656E-01, 1.741870634E-01,-2.915141521E-02, 4.342951320E-03, 2.530819598E+00
       512, 2.099999938E+00,-4.167901349E-17, 2.821052656E-01, 1.726810420E-01,-2.878220508E-02, 4.393715868E-03, 2.528703510E+00
       513, 2.250000061E+00,-4.256920125E-17, 2.821052656E-01, 1.708937242E-01,-2.833252524E-02, 4.371895558E-03, 2.527227142E+00
       514,-4.499999820E-01,-2.445731862E-17, 2.989473714E-01, 8.961543469E-02, 1.524075442E-03,-3.247292399E-04, 2.546279490E+00
       515,-3.000000072E-01,-2.531326755E-17, 2.989473714E-01, 9.006409065E-02, 5.654603194E-03,-6.173498351E-04, 2.544208636E+00
       516,-1.500000033E-01,-2.616921624E-17, 2.989473669E-01, 9.090656310E-02, 2.900229643E-02,-1.352115862E-03, 2.542044291E+00
       517,-3.677613769E-16,-2.702516573E-17, 2.989473714E-01, 9.235999625E-02, 7.446651977E-02,-3.174992211E-03, 2.592259136E+00
